,Key,English_US,Description,French,Italian,German,Spanish_Spain,Spanish_LATAM,Korean,Russian,Japanese,Portuguese_Brazil,Chinese_Simplified,Chinese_Traditional,Polish,Turkish,Swedish,Thai,Arabic
Zenith3_RAW-0093-Zenith,Zenith3_RAW-0093-Zenith,Возможно. Посмотреть это во второй раз. Было бы полезно.,,Peut-être. La voir une deuxième fois. Cela t'aiderait.,Forse. Vederla una seconda volta. Ti aiuterebbe.,"Vielleicht. Hilft es dir, sie. Ein zweites Mal zu sehen.",Tal vez. Verla por segunda vez. Ayudaría.,Tal vez. Verla por segunda vez. Ayudaría.,어쩌면. 두 번째로 보는 게. 도움이 될지도 몰라.,,キット助けになるはずデス。もう一度見れば。,Talvez. Ver uma segunda vez. Ajudaria.,也许。再看一次答案。能起作用。,或許。再次觀看。會有幫助。,,,,,
Zenith3_RAW-0094-Choice,Zenith3_RAW-0094-Choice,"Конечно, можно.",,"Bien sûr, pourquoi pas…","Certo, perché no…","Klar, warum nicht.","Claro, podría ayudar.","Claro, podría ayudar.","그래요, 다시 보여줘요.",,ああ、それがよさそうだ。,"Claro, pode ser.",好，死马当活马医吧。,好噢，反正沒其他辦法。,,,,,
Zenith3_RAW-0095-Choice,Zenith3_RAW-0095-Choice,"Нет, это ничего не даст.",,"Non, ça n'apportera rien de plus.","No, non farà proprio niente.","Nein, das bringt doch nichts.","No, no va a hacer nada.","No, no va a hacer nada.","됐어요, 소용없어요.",,いや、見たところでムダだよ。,"Não, não vai adiantar nada.",算了，这样下去不会有收获的。,不要，一點用也沒有。,,,,,
Zenith3_RAW-0096-Zenith,Zenith3_RAW-0096-Zenith,Очень хорошо. Закрой свои глаза.,From [0094-Choice],Très bien. Ferme les yeux.,Benissimo. Chiudi gli occhi.,Nun gut. Schließe deine Augen.,Muy bien. Cierra los ojos.,Muy bien. Cierra los ojos.,좋아. 눈을 감아보렴.,,いいデショウ。目を閉じテ。,Muito bem. Feche os olhos.,很好。闭上你的眼睛。,那好吧。請閉上雙眼。,,,,,
Zenith3_RAW-0097-Zenith,Zenith3_RAW-0097-Zenith,Человек {{Alta}}. Мы приносим извинения.,From [0095-Choice],Être humain {{Alta}}. Nous sommes désolés.,Essere umano {{Alta}}. Ci dispiace.,Menschin {{Alta}}. Es tut uns leid.,Humana {{Alta}}. Lo sentimos.,Humana {{Alta}}. Lo sentimos.,인간 {{Alta}}. 미안하구나.,,人間{{アルタ}}よ、残念デス。,Humana {{Alta}}. Sentimos muito.,人类{{Alta}}。我等很抱歉。,人類{{Alta}}。我們很抱歉。,,,,,
Zenith3_RAW-0098-Alta,Zenith3_RAW-0098-Alta,...,,…,...,…,...,...,...,,…,...,……,……,,,,,
Zenith3_RAW-0099-Zenith,Zenith3_RAW-0099-Zenith,Мы надеемся. Что ты исцелишь себя.,,Nous espérons. Que tu te soigneras toi-même.,Speriamo. Che guarirai.,"Wir hoffen, dass. Du dich selbst heilst.",Esperamos. Que te cures.,Esperamos. Que te cures.,부디 네가. 치유되길 바란다.,,祈ってイマス。心を癒やせるように。,Esperamos. Que você se cure.,我等衷心希望。你能治好自己。,我們希望。你可以療癒自己。,,,,,
Zenith3_RAW-0100-Alta,Zenith3_RAW-0100-Alta,...,,…,...,…,...,...,...,,…,...,……,……,,,,,
Zenith3_RAW-0101-Zenith,Zenith3_RAW-0101-Zenith,Мы думаем. О тебе.,,Nous pensons. À toi.,Ti. Pensiamo.,Wir denken. An dich.,Estamos pensando. En ti.,Te tenemos. En nuestros pensamientos.,우린 너를. 생각한단다.,,いつも思ってイマスヨ。アナタのコトを。,Estamos pensando. Em você.,我等现在。很担心你。,我們正在。想著你。,,,,,
Zenith3_RAW-0102-Alta,Zenith3_RAW-0102-Alta,Хорошо.,,Très bien.,Bene.,Meinetwegen.,Está bien.,Está bien.,그러든가요.,,わかった。,Tá bem.,好吧。,好。,,,,,
Zenith3_RAW-0103-Zenith,Zenith3_RAW-0103-Zenith,Имело ли это смысл. На этот раз больше смысла?,,"As-tu mieux. Compris, cette fois ?",Aveva più senso. Questa volta?,Hat es dieses Mal. Mehr Sinn ergeben?,¿Ha tenido? ¿Más sentido esta vez?,¿Ha tenido? ¿Más sentido esta vez?,이번에는. 좀 더 이해됐니?,,どうデショウ。今度は伝わりマシタカ？,Fez mais. Sentido desta vez?,这次。你看明白了吗？,這次。你有瞭解得更多嗎？,,,,,
Zenith3_RAW-0104-Choice,Zenith3_RAW-0104-Choice,"Ого, да, теперь я это полностью понимаю.",,"Waouh, oui ! Je comprends tout parfaitement maintenant.","Ah, sì, ora lo capisco perfettamente.","Wow, ja, jetzt verstehe ich es total.","Guau, sí, ahora lo entiendo completamente.","Guau, vaya que sí. Ahora lo entiendo todo.","와, 그래요. 이제 완전히 이해했어요.",,スゴいな。ああ、カンペキに理解できた。,"Nossa, sim, eu entendo completamente agora.",哇，太好了，这次我完全看懂了。,哇喔，有，我完全懂了。,,,,,
Zenith3_RAW-0105-Choice,Zenith3_RAW-0105-Choice,Даже немного.,,Pas le moins du monde.,Nemmeno un po'.,Nicht mal ein bisschen.,Ni una pizca.,Ni un poquito.,하나도 이해 안 됐어요.,,ちっともわからない。,Nem um pouquinho.,看不懂一点。,完全不懂。,,,,,
Zenith3_RAW-0106-Alta,Zenith3_RAW-0106-Alta,Я поправился! Я полностью исцелен! Ты сделал это! Ура!,From [0104-Choice],Je suis guérie ! Réparée ! Tu as réussi ! Ouais !,Sono guarita! Riparata! Ce l'hai fatta! Sì!,Ich bin repariert! Ich bin geheilt! Ihr habt es geschafft! Hurra!,¡Estoy arreglada! ¡Estoy completamente curada! ¡Lo has conseguido! ¡Bien!,¡Estoy arreglada! ¡Totalmente recompuesta! ¡Lo lograste! ¡Muy bien!,드디어 성공이다! 완전히 치유됐어! 해냈군요! 만세!,,元の私だ！ すっかり治ったぞ。あんたのおかげだ！,Estou melhor! Estou totalmente curada! Você conseguiu! Eba!,我恢复正常了！我痊愈了！你成功了！耶！,我好起來了！我康復了！你們成功了！耶！,,,,,
Zenith3_RAW-0107-Zenith,Zenith3_RAW-0107-Zenith,Ты настоящий. Неискренний.,,Tu n'es pas. Sincère.,Non sei. Sincera.,Du bist. Unaufrichtig.,Estás siendo. Poco sincera.,Estás siendo. Poco sincera.,진심이. 아니구나.,,心にもナイ言葉デスネ。,Você está sendo. Insincera.,你的态度。言不由衷。,你不。真誠。,,,,,
Zenith3_RAW-0108-Alta,Zenith3_RAW-0108-Alta,"Конечно, это так, это полная чушь.",,Bien sûr que je le suis. C'est du charabia total.,"Certo che non lo sono, è una totale sciocchezza.","Natürlich bin ich das, es ist totaler Humbug.","Por supuesto que sí, es un completo galimatías.",Por supuesto que sí. No son más que bobadas.,당연하죠. 역시 말도 안 되는 헛소리예요.,,当然だろ。チンプンカンプンだ。,"Claro que estou, é uma baboseira total.",肯定啊，我在胡言乱语。,我當然不真誠，那都是垃圾。,,,,,
Zenith3_RAW-0109-Zenith,Zenith3_RAW-0109-Zenith,Человек {{Alta}}. Мы приносим извинения.,From [0105-Choice],Être humain {{Alta}}. Nous sommes désolés.,Essere umano {{Alta}}. Ci dispiace.,Menschin {{Alta}}. Es tut uns leid.,Humana {{Alta}}. Lo sentimos.,Humana {{Alta}}. Lo sentimos.,인간 {{Alta}}. 미안하구나.,,人間{{アルタ}}よ、残念デス。,Humana {{Alta}}. Sentimos muito.,人类{{Alta}}。我等很抱歉。,人類{{Alta}}。我們很抱歉。,,,,,
Zenith3_RAW-0110-Alta,Zenith3_RAW-0110-Alta,...,,…,...,…,...,...,...,,…,...,……,……,,,,,
Zenith3_RAW-0111-Zenith,Zenith3_RAW-0111-Zenith,Мы надеемся. Что ты исцелишь себя.,,Nous espérons. Que tu te soigneras toi-même.,Speriamo. Che guarisci.,"Wir hoffen, dass. Du dich selbst heilst.",Esperamos. Que te cures.,Esperamos. Que te cures.,부디 네가. 치유되길 바란다.,,祈ってイマス。心を癒やせるように。,Esperamos. Que você se cure.,我等衷心希望。你能治好自己。,我們希望。你可以療癒自己。,,,,,
Zenith3_RAW-0112-Alta,Zenith3_RAW-0112-Alta,...,,…,...,…,...,...,...,,……,...,……,……,,,,,
Zenith3_RAW-0113-Zenith,Zenith3_RAW-0113-Zenith,Мы думаем. О тебе.,,Nous pensons. À toi.,Ti. Pensiamo.,Wir denken. An dich.,Estamos pensando. En ti.,Te tenemos. En nuestros pensamientos.,우린 너를. 생각한단다.,,いつも思ってイマスヨ。アナタのコトを。,Estamos pensando. Em você.,我等现在。很担心你。,我們正在。想著你。,,,,,
Zenith3_RAW-0114-Alta,Zenith3_RAW-0114-Alta,Хорошо.,,Très bien.,Bene.,Meinetwegen.,,Está bien.,그러든가요.,,もういい。,Tá bem.,好吧。,好。,,,,,
